구,인구,주유소개수,전기차수,충전소개수,현재충전소당전기차,미래전기차수,휘발유자동차수,주유소당자동차,자동차당주유소비율,주유소비율로본미래충전소개수,미래충전소당전기차예측(주유소기준),인구비,인구비율로본미래충전소개수,미래충전소당전기차예측(인구기준)
송파구,634720,33,1988,2106,0.9439696106362773,19082,226642,6867.939393939394,0.014560408044404831,10280.143133223319,1.8561998361998366,0.06700923667936462,17517.782484124207,1.089293123561352
강서구,559837,32,1776,1596,1.112781954887218,17047,181777,5680.53125,0.01760398730312416,11103.52134758523,1.5352787162162158,0.05910362054900657,13803.290047135135,1.2349954207865173
노원구,503929,15,896,1353,0.6622320768662232,8600,133828,8921.866666666667,0.011208416773769315,3566.5182174133956,2.4113153153153157,0.053201250363302775,6268.171317804333,1.372011000333105
강남구,503019,35,12173,2252,5.405417406749556,116843,216532,6186.628571428571,0.016163892634806866,69879.59516376333,1.672061776061776,0.05310517901628642,85008.06751565938,1.3744930735953538
관악구,495777,15,777,594,1.3080808080808082,7458,106692,7112.8,0.014059160949274547,3879.569227308514,1.9223783783783783,0.052340620010690314,5347.8819133442785,1.394570807816541
은평구,457385,17,901,1197,0.7527151211361738,8648,118425,6966.176470588235,0.014355077052987124,4593.280135106608,1.8827503974562796,0.04828746489568816,5720.982950925383,1.51162834676883
강동구,451099,14,1293,1272,1.0165094339622642,12411,136235,9731.07142857143,0.010276360700260579,4718.97676808456,2.630019305019305,0.047623833590913635,8097.513762146558,1.532692671424369
성북구,435509,24,926,1483,0.624409979770735,8888,109967,4581.958333333333,0.021824729236952903,7177.193157947384,1.2383671171171171,0.04597795194257847,5598.532905059233,1.5875587677564904
양천구,433373,25,998,899,1.110122358175751,9579,135870,5434.8,0.018399941120188414,6521.362331640538,1.468864864864865,0.04575244820936206,6004.199009145464,1.5953834950189822
구로구,426220,21,3799,1344,2.8266369047619047,36465,128156,6102.666666666667,0.016386279222197948,22108.449857985583,1.6493693693693692,0.04499728519264997,22479.31626233474,1.6221578794680245
영등포구,402984,29,2388,1228,1.9446254071661238,22921,133605,4607.068965517241,0.021705774484487857,18408.168107481008,1.2451537744641192,0.0425441930835598,13359.629660455355,1.7156912715811579
서초구,392302,33,3495,1947,1.7950693374422189,33547,166410,5042.727272727273,0.019830539030106367,24614.438435190194,1.3628992628992629,0.041416463271660105,19034.753879229025,1.7624078678845925
동작구,388094,10,726,1036,0.7007722007722008,6969,97979,9797.9,0.01020626869022954,2631.7170005817575,2.648081081081081,0.04097221247139106,3911.8342773698023,1.7815171875547198
중랑구,380307,15,778,1218,0.638752052545156,7468,99553,6636.866666666667,0.01506735105923478,4163.350175283517,1.7937477477477477,0.04015011623049396,4107.822631727805,1.8179947552552578
마포구,365192,12,1086,1410,0.7702127659574468,10424,111313,9276.083333333334,0.010780411991411604,4157.875540143559,2.5070495495495497,0.03855438171384315,5505.904987295883,1.8932400802505571
동대문구,348201,19,659,903,0.7297895902547066,6325,88879,4677.8421052631575,0.02137737823332846,5002.840941054693,1.2642816500711236,0.03676059242026632,3185.3972346971277,1.9856236236738587
광진구,347099,16,623,546,1.141025641025641,5980,89909,5619.3125,0.017795771279849628,3937.4923533795286,1.518733108108108,0.036644251074758605,3002.1169135506734,1.9919277537153992
서대문구,314547,15,669,812,0.8238916256157636,6421,80604,5373.6,0.018609498287926157,4421.188774750633,1.4523243243243245,0.03320764174720208,2921.1998669253485,2.1980693867271386
도봉구,309200,18,639,702,0.9102564102564102,6133,83308,4628.222222222223,0.021606568396792626,4902.984107168579,1.250870870870871,0.03264314340379938,2742.745459388372,2.2360806319109354
강북구,292611,13,514,622,0.8263665594855305,4934,66247,5095.923076923077,0.01962353012211874,3582.432412033753,1.3772765072765072,0.030891794419563842,2088.1555572259535,2.3628507861524732
성동구,286469,17,1461,1756,0.8320045558086561,14023,96307,5665.117647058823,0.017651884079038907,9158.697706293417,1.5311128775834657,0.03024336561365784,5810.207209204437,2.4135111700982
금천구,247398,12,561,958,0.5855949895615866,5385,81146,6762.166666666667,0.014788159613536096,2946.4668621989995,1.8276126126126124,0.02611852649357425,1926.8812328001934,2.794671466167315
용산구,221688,13,968,804,1.2039800995024876,9291,74737,5749.0,0.017394329448599758,5979.596451556793,1.5537837837837836,0.023404247008090157,2979.049367644669,3.1187801386942975
종로구,148857,9,611,604,1.0115894039735098,5865,46746,5194.0,0.019252984212552945,4177.993839045052,1.4037837837837839,0.01571526648660855,1262.7295198322402,4.6447001577813705
중구,126310,11,968,914,1.0590809628008753,9291,57305,5209.545454545455,0.01919553267603176,6598.79068144141,1.407985257985258,0.013334914111687904,1697.3572120601846,5.4738035894771695
